ticks;timestamp ms;expected ts ms;lag ms;actual delta ms;expected delta ms;delta diff ms;measure;message
2304;4095.483;4044.936;50.547;0.224;0.000;0.224;3;"JavaWrapperMessage(ticks=2304, isNote=true, isMeta=false)"
2304;4096.123;4044.936;51.187;0.640;0.000;0.640;3;"JavaWrapperMessage(ticks=2304, isNote=true, isMeta=false)"
2400;4265.283;4213.475;51.808;169.161;168.539;0.622;3;"-"
2496;4434.468;4382.014;52.454;169.185;168.539;0.646;3;"-"
2592;4603.746;4550.553;53.193;169.278;168.539;0.739;3;"-"
2592;4603.987;4550.553;53.434;0.242;0.000;0.242;3;"JavaWrapperMessage(ticks=2592, isNote=true, isMeta=false)"
2592;4604.863;4550.553;54.310;0.876;0.000;0.876;3;"JavaWrapperMessage(ticks=2592, isNote=true, isMeta=false)"
2688;4774.068;4719.092;54.976;169.205;168.539;0.666;3;"-"
2784;4943.458;4887.631;55.827;169.390;168.539;0.851;3;"-"
2880;5112.761;5056.170;56.591;169.302;168.539;0.763;3;"-"
2880;5112.904;5056.170;56.734;0.143;0.000;0.143;3;"JavaWrapperMessage(ticks=2880, isNote=true, isMeta=false)"
2880;5113.240;5056.170;57.070;0.337;0.000;0.337;3;"JavaWrapperMessage(ticks=2880, isNote=true, isMeta=false)"
2976;5282.376;5224.709;57.667;169.135;168.539;0.596;3;"-"
3072;5451.681;5393.248;58.433;169.305;168.539;0.766;3;"-"
3168;5620.978;5561.787;59.191;169.297;168.539;0.758;3;"-"
3168;5621.336;5561.787;59.549;0.358;0.000;0.358;3;"JavaWrapperMessage(ticks=3168, isNote=true, isMeta=false)"
3168;5622.290;5561.787;60.503;0.954;0.000;0.954;3;"JavaWrapperMessage(ticks=3168, isNote=true, isMeta=false)"
3264;5791.510;5730.326;61.184;169.220;168.539;0.681;3;"-"
3360;5960.942;5898.865;62.077;169.432;168.539;0.893;3;"-"
3360;5961.283;5898.865;62.418;0.341;0.000;0.341;3;"JavaWrapperMessage(ticks=3360, isNote=true, isMeta=false)"
3360;5962.271;5898.865;63.406;0.988;0.000;0.988;3;"JavaWrapperMessage(ticks=3360, isNote=true, isMeta=false)"
3456;6131.548;6067.404;64.144;169.277;168.539;0.738;4;"-"
3456;6133.148;6067.404;65.744;1.600;0.000;1.600;4;"JavaWrapperMessage(ticks=3456, isNote=true, isMeta=false)"
3456;6134.863;6067.404;67.459;1.716;0.000;1.716;4;"JavaWrapperMessage(ticks=3456, isNote=true, isMeta=false)"
3456;6135.216;6067.404;67.812;0.353;0.000;0.353;4;"JavaWrapperMessage(ticks=3456, isNote=true, isMeta=false)"
3456;6135.509;6067.404;68.105;0.293;0.000;0.293;4;"JavaWrapperMessage(ticks=3456, isNote=true, isMeta=false)"
3456;6135.565;6067.404;68.161;0.056;0.000;0.056;4;"JavaWrapperMessage(ticks=3456, isNote=true, isMeta=false)"
3456;6135.851;6067.404;68.447;0.287;0.000;0.287;4;"JavaWrapperMessage(ticks=3456, isNote=true, isMeta=false)"
3468;6157.769;6088.471;69.298;21.917;21.067;0.850;4;"JavaWrapperMessage(ticks=3468, isNote=true, isMeta=false)"
3480;6179.297;6109.538;69.759;21.529;21.067;0.462;4;"JavaWrapperMessage(ticks=3480, isNote=true, isMeta=false)"
3552;6305.432;6235.942;69.490;126.135;126.404;-0.269;4;"-"
3648;6474.689;6404.481;70.208;169.257;168.539;0.718;4;"-"
3744;6643.915;6573.020;70.895;169.226;168.539;0.687;4;"-"
